date,revenue,transaction_qty,avg_spend
2023-01-01,12500,85,147.06
2023-01-02,15800,112,141.07
2023-01-03,18200,128,142.19
2023-01-04,16900,119,142.02
2023-01-05,19500,135,144.44
2023-01-06,21300,148,143.92
2023-01-07,22800,158,144.30
2023-01-08,13200,91,145.05
2023-01-09,16200,115,140.87
2023-01-10,18900,133,142.11
2023-01-11,17500,122,143.44
2023-01-12,20100,140,143.57
2023-01-13,22500,156,144.23
2023-01-14,24200,168,144.05
2023-01-15,14100,98,143.88
2023-01-16,16800,118,142.37
2023-01-17,19200,134,143.28
2023-01-18,18200,128,142.19
2023-01-19,20800,145,143.45
2023-01-20,23100,161,143.48
2023-01-21,24800,172,144.19
2023-01-22,14800,103,143.69
2023-01-23,17300,121,142.98
2023-01-24,19800,138,143.48
2023-01-25,18900,132,143.18
2023-01-26,21500,149,144.30
2023-01-27,23800,165,144.24
2023-01-28,25500,177,144.07
2023-01-29,15200,106,143.40
2023-01-30,17900,125,143.20
2023-01-31,20200,141,143.26
2023-02-01,19100,133,143.61
2023-02-02,21900,152,144.08
2023-02-03,24300,169,143.79
2023-02-04,26100,181,144.20
2023-02-05,15800,110,143.64
2023-02-06,18400,128,143.75
2023-02-07,20800,145,143.45
2023-02-08,19700,137,143.80
2023-02-09,22400,156,143.59
2023-02-10,24900,173,143.93
2023-02-11,26800,186,144.09
2023-02-12,16300,113,144.25
2023-02-13,19000,132,143.94
2023-02-14,25600,178,143.82
2023-02-15,20500,143,143.36
2023-02-16,23300,162,143.83
2023-02-17,25700,179,143.58
2023-02-18,27600,192,143.75
2023-02-19,16900,117,144.44
2023-02-20,19600,136,144.12
2023-02-21,21900,152,144.08
2023-02-22,20900,145,144.14
2023-02-23,23800,165,144.24
2023-02-24,26200,182,143.96
2023-02-25,28100,195,144.10
2023-02-26,17400,121,143.80
2023-02-27,20100,140,143.57
2023-02-28,22500,156,144.23
2023-03-01,21400,149,143.62
2023-03-02,24200,168,144.05
2023-03-03,26800,186,144.09
2023-03-04,28700,199,144.22
2023-03-05,17900,124,144.35
2023-03-06,20700,144,143.75
2023-03-07,23100,161,143.48
2023-03-08,22100,154,143.51
2023-03-09,24900,173,143.93
2023-03-10,27400,190,144.21
2023-03-11,29300,203,144.33
2023-03-12,18500,128,144.53
2023-03-13,21300,148,143.92
2023-03-14,23800,165,144.24
2023-03-15,22700,158,143.67
2023-03-16,25600,178,143.82
2023-03-17,28100,195,144.10
2023-03-18,30100,209,144.02
2023-03-19,19200,133,144.36
2023-03-20,22000,153,143.79
2023-03-21,24600,171,143.86
2023-03-22,23500,163,144.17
2023-03-23,26300,183,143.72
2023-03-24,28900,201,143.78
2023-03-25,30900,214,144.39
2023-03-26,19800,137,144.53
2023-03-27,22700,158,143.67
2023-03-28,25300,176,143.75
2023-03-29,24200,168,144.05
2023-03-30,27100,188,144.15
2023-03-31,29700,206,144.17
2023-04-01,31700,220,144.09
2023-04-02,20300,141,143.97
2023-04-03,23300,162,143.83
2023-04-04,26000,181,143.65
2023-04-05,24800,172,144.19
2023-04-06,27800,193,144.04
2023-04-07,30400,211,144.08
2023-04-08,32500,225,144.44
2023-04-09,20900,145,144.14
2023-04-10,23900,166,143.98
2023-04-11,26700,185,144.32
2023-04-12,25500,177,144.07
2023-04-13,28500,198,143.94
2023-04-14,31200,217,143.78
2023-04-15,33400,232,144.00
2023-04-16,21500,149,144.30
2023-04-17,24600,171,143.86
2023-04-18,27400,190,144.21
2023-04-19,26200,182,143.96
2023-04-20,29200,203,143.84
2023-04-21,31900,222,143.69
2023-04-22,34200,237,144.30
2023-04-23,22100,153,144.44
2023-04-24,25300,176,143.75
2023-04-25,28200,196,143.88
2023-04-26,26900,187,143.85
2023-04-27,29900,208,143.75
2023-04-28,32700,227,144.05
2023-04-29,35100,244,143.85
2023-04-30,22700,158,143.67
2023-05-01,25900,180,143.89
2023-05-02,28900,201,143.78
2023-05-03,27600,192,143.75
2023-05-04,30700,213,144.13
2023-05-05,33500,233,143.78
2023-05-06,35900,249,144.18
2023-05-07,23400,162,144.44
2023-05-08,26600,185,143.78
2023-05-09,29600,206,143.69
2023-05-10,28300,197,143.65
2023-05-11,31400,219,143.38
2023-05-12,34300,238,144.12
2023-05-13,36700,255,143.92
2023-05-14,24100,167,144.31
2023-05-15,27300,190,143.68
2023-05-16,30300,211,143.60
2023-05-17,29000,202,143.56
2023-05-18,32200,224,143.75
2023-05-19,35100,244,143.85
2023-05-20,37600,261,144.06
2023-05-21,24800,172,144.19
2023-05-22,28000,195,143.59
2023-05-23,31000,216,143.52
2023-05-24,29700,207,143.48
2023-05-25,32900,229,143.67
2023-05-26,35900,250,143.60
2023-05-27,38400,267,143.82
2023-05-28,25500,177,144.07
2023-05-29,28700,200,143.50
2023-05-30,31800,221,143.89
2023-05-31,30400,212,143.40
2023-06-01,33600,234,143.59
2023-06-02,36700,255,143.92
2023-06-03,39300,273,143.96
2023-06-04,26200,182,143.96
2023-06-05,29400,205,143.41
2023-06-06,32600,227,143.61
2023-06-07,31100,217,143.32
2023-06-08,34400,239,143.93
2023-06-09,37500,261,143.68
2023-06-10,40200,279,144.09
2023-06-11,26900,187,143.85
2023-06-12,30100,210,143.33
2023-06-13,33300,232,143.53
2023-06-14,31800,222,143.24
2023-06-15,35100,244,143.85
2023-06-16,38300,266,143.98
2023-06-17,41100,285,144.21
2023-06-18,27600,192,143.75
2023-06-19,30900,215,143.72
2023-06-20,34100,237,143.88
2023-06-21,32600,227,143.61
2023-06-22,35900,250,143.60
2023-06-23,39100,272,143.75
2023-06-24,41900,291,143.99
2023-06-25,28300,197,143.65
2023-06-26,31600,220,143.64
2023-06-27,34900,243,143.62
2023-06-28,33300,232,143.53
2023-06-29,36700,255,143.92
2023-06-30,39900,277,144.04
2023-07-01,42800,297,144.11
2023-07-02,29000,202,143.56
2023-07-03,32300,225,143.56
2023-07-04,35700,248,143.95
2023-07-05,34000,237,143.46
2023-07-06,37500,261,143.68
2023-07-07,40700,283,143.82
2023-07-08,43700,303,144.22
2023-07-09,29700,207,143.48
2023-07-10,33100,230,143.91
2023-07-11,36500,254,143.70
2023-07-12,34800,242,143.80
2023-07-13,38300,266,143.98
2023-07-14,41600,289,143.94
2023-07-15,44600,310,143.87
2023-07-16,30500,212,143.87
2023-07-17,33900,236,143.64
2023-07-18,37300,259,144.02
2023-07-19,35600,248,143.55
2023-07-20,39100,272,143.75
2023-07-21,42500,295,144.07
2023-07-22,45500,316,144.00
2023-07-23,31200,217,143.78
2023-07-24,34700,241,143.98
2023-07-25,38100,265,143.77
2023-07-26,36400,253,143.87
2023-07-27,39900,277,144.04
2023-07-28,43400,302,143.71
2023-07-29,46500,323,143.96
2023-07-30,31900,222,143.69
2023-07-31,35500,247,143.72
2023-08-01,39000,271,143.91
2023-08-02,37200,259,143.63
2023-08-03,40800,284,143.66
2023-08-04,44300,308,143.83
2023-08-05,47400,329,144.07
2023-08-06,32700,227,144.05
2023-08-07,36300,252,144.05
2023-08-08,39800,277,143.68
2023-08-09,38000,264,143.94
2023-08-10,41700,290,143.79
2023-08-11,45200,314,143.95
2023-08-12,48400,336,144.05
2023-08-13,33500,233,143.78
2023-08-14,37100,258,143.80
2023-08-15,40700,283,143.82
2023-08-16,38900,271,143.54
2023-08-17,42500,296,143.58
2023-08-18,46100,320,144.06
2023-08-19,49400,343,144.05
2023-08-20,34300,238,144.12
2023-08-21,37900,264,143.56
2023-08-22,41600,289,143.94
2023-08-23,39700,276,143.84
2023-08-24,43400,302,143.71
2023-08-25,47100,327,144.04
2023-08-26,50400,350,144.00
2023-08-27,35100,244,143.85
2023-08-28,38800,270,143.70
2023-08-29,42500,296,143.58
2023-08-30,40600,282,143.97
2023-08-31,44300,308,143.83
2023-09-01,48100,334,144.01
2023-09-02,51500,358,143.85
2023-09-03,36000,250,144.00
2023-09-04,39700,276,143.84
2023-09-05,43400,302,143.71
2023-09-06,41500,289,143.60
2023-09-07,45200,314,143.95
2023-09-08,49100,341,143.99
2023-09-09,52600,365,144.11
2023-09-10,36800,256,143.75
2023-09-11,40600,282,143.97
2023-09-12,44400,309,143.69
2023-09-13,42400,295,143.73
2023-09-14,46200,321,143.92
2023-09-15,50100,348,144.00
2023-09-16,53700,373,143.97
2023-09-17,37700,262,143.89
2023-09-18,41500,289,143.60
2023-09-19,45400,316,143.67
2023-09-20,43300,301,143.85
2023-09-21,47200,328,143.90
